@code,コードが示す地域等,@name,ふりがな,"属する「市町村等をまとめた地域等」
(AreaForecastLocalMの@code値)","""気象警報・注意報""及び
""気象特別警報報知""で使用","""竜巻注意情報""で使用",高潮特別警報・警報・注意報発表対象,波浪特別警報・警報・注意報発表対象,"""土砂災害警戒情報""で使用","""指定河川洪水予報""で使用",,,,,,
0136200,北海道上ノ国町,上ノ国町,かみのくにちょう,017022,1,1,1,1,1,1,,,,,,
0136300,北海道厚沢部町,厚沢部町,あっさぶちょう,017022,1,1,0,0,1,1,,,,,,
0136400,北海道乙部町,乙部町,おとべちょう,017022,1,1,1,1,1,1,,,,,,
0136700,北海道奥尻町,奥尻町,おくしりちょう,017023,1,1,1,1,1,1,,,,,,
0137000,北海道今金町,今金町,いまかねちょう,017021,1,1,0,0,1,1,,,,,,
0137100,北海道せたな町,せたな町,せたなちょう,017021,1,1,1,1,1,1,,,,,,
0139100,北海道島牧村,島牧村,しままきむら,016033,1,1,1,1,1,1,,,,,,
0139200,北海道寿都町,寿都町,すっつちょう,016033,1,1,1,1,1,1,,,,,,
0139300,北海道黒松内町,黒松内町,くろまつないちょう,016033,1,1,0,0,1,1,,,,,,
0139400,北海道蘭越町,蘭越町,らんこしちょう,016033,1,1,1,1,1,1,,,,,,
0139500,北海道ニセコ町,ニセコ町,にせこちょう,016032,1,1,0,0,1,1,,,,,,
0139600,北海道真狩村,真狩村,まっかりむら,016032,1,1,0,0,1,1,,,,,,
0139700,北海道留寿都村,留寿都村,るすつむら,016032,1,1,0,0,1,1,,,,,,
0139800,北海道喜茂別町,喜茂別町,きもべつちょう,016032,1,1,0,0,1,1,,,,,,
0139900,北海道京極町,京極町,きょうごくちょう,016032,1,1,0,0,1,1,,,,,,
0140000,北海道倶知安町,倶知安町,くっちゃんちょう,016032,1,1,0,0,1,1,,,,,,
0140100,北海道共和町,共和町,きょうわちょう,016033,1,1,1,1,1,1,,,,,,
0140200,北海道岩内町,岩内町,いわないちょう,016033,1,1,1,1,1,1,,,,,,
0140300,北海道泊村,泊村,とまりむら,016033,1,1,1,1,1,1,,,,,,
0140400,北海道神恵内村,神恵内村,かもえないむら,016033,1,1,1,1,1,1,,,,,,
0140500,北海道積丹町,積丹町,しゃこたんちょう,016031,1,1,1,1,1,1,,,,,,
0140600,北海道古平町,古平町,ふるびらちょう,016031,1,1,1,1,1,1,,,,,,
0140700,北海道仁木町,仁木町,にきちょう,016031,1,1,0,0,1,1,,,,,,
0140800,北海道余市町,余市町,よいちちょう,016031,1,1,1,1,1,1,,,,,,
0140900,北海道赤井川村,赤井川村,あかいがわむら,016031,1,1,0,0,1,1,,,,,,
0142300,北海道南幌町,南幌町,なんぽろちょう,016023,1,1,0,0,1,1,,,,,,
0142400,北海道奈井江町,奈井江町,ないえちょう,016022,1,1,0,0,1,1,,,,,,
0142500,北海道上砂川町,上砂川町,かみすながわちょう,016022,1,1,0,0,1,1,,,,,,
0142700,北海道由仁町,由仁町,ゆにちょう,016023,1,1,0,0,1,1,,,,,,
0142800,北海道長沼町,長沼町,ながぬまちょう,016023,1,1,0,0,1,1,,,,,,
0142900,北海道栗山町,栗山町,くりやまちょう,016023,1,1,0,0,1,1,,,,,,
0143000,北海道月形町,月形町,つきがたちょう,016023,1,1,0,0,1,1,,,,,,
0143100,北海道浦臼町,浦臼町,うらうすちょう,016022,1,1,0,0,1,1,,,,,,
0143200,北海道新十津川町,新十津川町,しんとつかわちょう,016022,1,1,0,0,1,1,,,,,,
0143300,北海道妹背牛町,妹背牛町,もせうしちょう,016021,1,1,0,0,1,1,,,,,,
0143400,北海道秩父別町,秩父別町,ちっぷべつちょう,016021,1,1,0,0,1,1,,,,,,
0143600,北海道雨竜町,雨竜町,うりゅうちょう,016022,1,1,0,0,1,1,,,,,,
0143700,北海道北竜町,北竜町,ほくりゅうちょう,016021,1,1,0,0,1,1,,,,,,
0143800,北海道沼田町,沼田町,ぬまたちょう,016021,1,1,0,0,1,1,,,,,,
0145200,北海道鷹栖町,鷹栖町,たかすちょう,012012,1,1,0,0,1,1,,,,,,
0145300,北海道東神楽町,東神楽町,ひがしかぐらちょう,012012,1,1,0,0,1,1,,,,,,
0145400,北海道当麻町,当麻町,とうまちょう,012012,1,1,0,0,1,1,,,,,,
0145500,北海道比布町,比布町,ぴっぷちょう,012012,1,1,0,0,1,1,,,,,,
0145600,北海道愛別町,愛別町,あいべつちょう,012012,1,1,0,0,1,1,,,,,,
0145700,北海道上川町,上川町,かみかわちょう,012012,1,1,0,0,1,1,,,,,,
0145800,北海道東川町,東川町,ひがしかわちょう,012012,1,1,0,0,1,1,,,,,,
0145900,北海道美瑛町,美瑛町,びえいちょう,012012,1,1,0,0,1,1,,,,,,
0146000,北海道上富良野町,上富良野町,かみふらのちょう,012013,1,1,0,0,1,1,,,,,,
0146100,北海道中富良野町,中富良野町,なかふらのちょう,012013,1,1,0,0,1,1,,,,,,
0146200,北海道南富良野町,南富良野町,みなみふらのちょう,012013,1,1,0,0,1,1,,,,,,
0146300,北海道占冠村,占冠村,しむかっぷむら,012013,1,1,0,0,1,1,,,,,,
0146400,北海道和寒町,和寒町,わっさむちょう,012011,1,1,0,0,1,1,,,,,,
0146500,北海道剣淵町,剣淵町,けんぶちちょう,012011,1,1,0,0,1,1,,,,,,
0146800,北海道下川町,下川町,しもかわちょう,012011,1,1,0,0,1,1,,,,,,
0146900,北海道美深町,美深町,びふかちょう,012011,1,1,0,0,1,1,,,,,,
0147000,北海道音威子府村,音威子府村,おといねっぷむら,012011,1,1,0,0,1,1,,,,,,
0147100,北海道中川町,中川町,なかがわちょう,012011,1,1,0,0,1,1,,,,,,
0147200,北海道幌加内町,幌加内町,ほろかないちょう,012011,1,1,0,0,1,1,,,,,,
0148100,北海道増毛町,増毛町,ましけちょう,012023,1,1,1,1,1,1,,,,,,
0148200,北海道小平町,小平町,おびらちょう,012023,1,1,1,1,1,1,,,,,,
0148300,北海道苫前町,苫前町,とままえちょう,012022,1,1,1,1,1,1,,,,,,
0148400,北海道羽幌町,羽幌町,はぼろちょう,,0,0,0,0,0,1,,,,,,
0148401,気象庁予報警報規程別表第四の二に示す「羽幌町」の区域,羽幌町,はぼろちょう,012022,1,1,1,1,1,0,,,,,,
0148402,気象庁予報警報規程別表第四の二に示す「天売焼尻」の区域,天売焼尻,てうりやぎしり,012022,1,1,1,1,1,0,,,,,,
0148500,北海道初山別村,初山別村,しょさんべつむら,012022,1,1,1,1,1,1,,,,,,
0148600,北海道遠別町,遠別町,えんべつちょう,012021,1,1,1,1,1,1,,,,,,
0148700,北海道天塩町,天塩町,てしおちょう,012021,1,1,1,1,1,1,,,,,,
0151100,北海道猿払村,猿払村,さるふつむら,011011,1,1,1,1,1,1,,,,,,
0151200,北海道浜頓別町,浜頓別町,はまとんべつちょう,011012,1,1,1,1,1,1,,,,,,
0151300,北海道中頓別町,中頓別町,なかとんべつちょう,011012,1,1,0,0,1,1,,,,,,
0151400,北海道枝幸町,枝幸町,えさしちょう,011012,1,1,1,1,1,1,,,,,,
0151600,北海道豊富町,豊富町,とよとみちょう,011011,1,1,1,1,1,1,,,,,,
0151700,北海道礼文町,礼文町,れぶんちょう,011013,1,1,1,1,1,1,,,,,,
0151800,北海道利尻町,利尻町,りしりちょう,011013,1,1,1,1,1,1,,,,,,
0151900,北海道利尻富士町,利尻富士町,りしりふじちょう,011013,1,1,1,1,1,1,,,,,,
0152000,北海道幌延町,幌延町,ほろのべちょう,011011,1,1,1,1,1,1,,,,,,
0154300,北海道美幌町,美幌町,びほろちょう,013013,1,1,0,0,1,1,,,,,,
0154400,北海道津別町,津別町,つべつちょう,013013,1,1,0,0,1,1,,,,,,
0154500,北海道斜里町,斜里町,しゃりちょう,013012,1,1,1,1,1,1,,,,,,
0154600,北海道清里町,清里町,きよさとちょう,013012,1,1,0,0,1,1,,,,,,
0154700,北海道小清水町,小清水町,こしみずちょう,013012,1,1,1,1,1,1,,,,,,
0154900,北海道訓子府町,訓子府町,くんねっぷちょう,013020,1,1,0,0,1,1,,,,,,
0155000,北海道置戸町,置戸町,おけとちょう,013020,1,1,0,0,1,1,,,,,,
0155200,北海道佐呂間町,佐呂間町,さろまちょう,013011,1,1,1,0,1,1,,,,,,
0155500,北海道遠軽町,遠軽町,えんがるちょう,013032,1,1,0,0,1,1,,,,,,
0155900,北海道湧別町,湧別町,ゆうべつちょう,013032,1,1,1,1,1,1,,,,,,
0156000,北海道滝上町,滝上町,たきのうえちょう,013031,1,1,0,0,1,1,,,,,,
0156100,北海道興部町,興部町,おこっぺちょう,013031,1,1,1,1,1,1,,,,,,
0156200,北海道西興部村,西興部村,にしおこっぺむら,013031,1,1,0,0,1,1,,,,,,
0156300,北海道雄武町,雄武町,おうむちょう,013031,1,1,1,1,1,1,,,,,,
0156400,北海道大空町,大空町,おおぞらちょう,013011,1,1,0,0,1,1,,,,,,
0157100,北海道豊浦町,豊浦町,とようらちょう,015011,1,1,1,1,1,1,,,,,,
0157500,北海道壮瞥町,壮瞥町,そうべつちょう,015011,1,1,0,0,1,1,,,,,,
0157800,北海道白老町,白老町,しらおいちょう,015012,1,1,1,1,1,1,,,,,,
0158100,北海道厚真町,厚真町,あつまちょう,015013,1,1,1,1,1,1,,,,,,
0158400,北海道洞爺湖町,洞爺湖町,とうやこちょう,015011,1,1,1,1,1,1,,,,,,
0158500,北海道安平町,安平町,あびらちょう,015013,1,1,0,0,1,1,,,,,,
0158600,北海道むかわ町,むかわ町,むかわちょう,015013,1,1,1,1,1,1,,,,,,
0160100,北海道日高町,日高町,ひだかちょう,,0,0,0,0,0,1,,,,,,
0160101,気象庁予報警報規程別表第四の二に示す「日高町日高」の区域,日高町日高,ひだかちょうひだか,015021,1,1,0,0,1,0,,,,,,
0160102,気象庁予報警報規程別表第四の二に示す「日高町門別」の区域,日高町門別,ひだかちょうもんべつ,015021,1,1,1,1,1,0,,,,,,
0160200,北海道平取町,平取町,びらとりちょう,015021,1,1,0,0,1,1,,,,,,
0160400,北海道新冠町,新冠町,にいかっぷちょう,015022,1,1,1,1,1,1,,,,,,
0160700,北海道浦河町,浦河町,うらかわちょう,015023,1,1,1,1,1,1,,,,,,
0160800,北海道様似町,様似町,さまにちょう,015023,1,1,1,1,1,1,,,,,,
0160900,北海道えりも町,えりも町,えりもちょう,015023,1,1,1,1,1,1,,,,,,
0161000,北海道新ひだか町,新ひだか町,しんひだかちょう,015022,1,1,1,1,1,1,,,,,,
0163100,北海道音更町,音更町,おとふけちょう,014032,1,1,0,0,1,1,,,,,,
0163200,北海道士幌町,士幌町,しほろちょう,014032,1,1,0,0,1,1,,,,,,
0163300,北海道上士幌町,上士幌町,かみしほろちょう,014031,1,1,0,0,1,1,,,,,,
0163400,北海道鹿追町,鹿追町,しかおいちょう,014031,1,1,0,0,1,1,,,,,,
0163500,北海道新得町,新得町,しんとくちょう,014031,1,1,0,0,1,1,,,,,,
0163600,北海道清水町,清水町,しみずちょう,014032,1,1,0,0,1,1,,,,,,
0163700,北海道芽室町,芽室町,めむろちょう,014032,1,1,0,0,1,1,,,,,,
0163800,北海道中札内村,中札内村,なかさつないむら,014033,1,1,0,0,1,1,,,,,,
0163900,北海道更別村,更別村,さらべつむら,014033,1,1,0,0,1,1,,,,,,
0164100,北海道大樹町,大樹町,たいきちょう,014033,1,1,1,1,1,1,,,,,,
0164200,北海道広尾町,広尾町,ひろおちょう,014033,1,1,1,1,1,1,,,,,,
0164300,北海道幕別町,幕別町,まくべつちょう,014032,1,1,0,0,1,1,,,,,,
0164400,北海道池田町,池田町,いけだちょう,014032,1,1,0,0,1,1,,,,,,
0164500,北海道豊頃町,豊頃町,とよころちょう,014032,1,1,1,1,1,1,,,,,,
0164600,北海道本別町,本別町,ほんべつちょう,014032,1,1,0,0,1,1,,,,,,
0164700,北海道足寄町,足寄町,あしょろちょう,014031,1,1,0,0,1,1,,,,,,
0164800,北海道陸別町,陸別町,りくべつちょう,014031,1,1,0,0,1,1,,,,,,
0164900,北海道浦幌町,浦幌町,うらほろちょう,014032,1,1,1,1,1,1,,,,,,
0166100,北海道釧路町,釧路町,くしろちょう,014024,1,1,1,1,1,1,,,,,,
0166200,北海道厚岸町,厚岸町,あっけしちょう,014023,1,1,1,1,1,1,,,,,,
0166300,北海道浜中町,浜中町,はまなかちょう,014023,1,1,1,1,1,1,,,,,,
0166400,北海道標茶町,標茶町,しべちゃちょう,014022,1,1,0,0,1,1,,,,,,
0166500,北海道弟子屈町,弟子屈町,てしかがちょう,014021,1,1,0,0,1,1,,,,,,
0166700,北海道鶴居村,鶴居村,つるいむら,014022,1,1,0,0,1,1,,,,,,
0166800,北海道白糠町,白糠町,しらぬかちょう,014024,1,1,1,1,1,1,,,,,,
0169001,北海道国後島,,,,0,0,0,0,0,0,,,,,,
0169002,北海道択捉島,,,,0,0,0,0,0,0,,,,,,
0169100,北海道別海町,別海町,べつかいちょう,014012,1,1,1,1,1,1,,,,,,
0169200,北海道中標津町,中標津町,なかしべつちょう,014011,1,1,0,0,1,1,,,,,,
0169300,北海道標津町,標津町,しべつちょう,014011,1,1,1,1,1,1,,,,,,
0169400,北海道羅臼町,羅臼町,らうすちょう,014011,1,1,1,1,1,1,,,,,,
0169500,北海道色丹村,,,,0,0,0,0,0,0,,,,,,
0220100,青森県青森市,青森市,あおもりし,020011,1,1,1,1,1,1,,,,,,
0220200,青森県弘前市,弘前市,ひろさきし,020014,1,1,0,0,1,1,,,,,,
0220300,青森県八戸市,八戸市,はちのへし,020031,1,1,1,1,1,1,,,,,,
0220400,青森県黒石市,黒石市,くろいしし,020014,1,1,0,0,1,1,,,,,,
0220500,青森県五所川原市,五所川原市,ごしょがわらし,020012,1,1,1,1,1,1,,,,,,
0220600,青森県十和田市,十和田市,とわだし,020032,1,1,0,0,1,1,,,,,,
0220700,青森県三沢市,三沢市,みさわし,020031,1,1,1,1,1,1,,,,,,
0220800,青森県むつ市,むつ市,むつし,020020,1,1,1,1,1,1,,,,,,
0220900,青森県つがる市,つがる市,つがるし,020013,1,1,1,1,1,1,,,,,,
0221000,青森県平川市,平川市,ひらかわし,020014,1,1,0,0,1,1,,,,,,
0230100,青森県平内町,平内町,ひらないまち,020011,1,1,1,1,1,1,,,,,,
0230300,青森県今別町,今別町,いまべつまち,020011,1,1,1,1,1,1,,,,,,
0230400,青森県蓬田村,蓬田村,よもぎたむら,020011,1,1,1,1,1,1,,,,,,
0230700,青森県外ヶ浜町,外ヶ浜町,そとがはままち,020011,1,1,1,1,1,1,,,,,,
0232100,青森県鰺ヶ沢町,鰺ヶ沢町,あじがさわまち,020013,1,1,1,1,1,1,,,,,,
0232300,青森県深浦町,深浦町,ふかうらまち,020013,1,1,1,1,1,1,,,,,,
0234300,青森県西目屋村,西目屋村,にしめやむら,020014,1,1,0,0,1,1,,,,,,
0236100,青森県藤崎町,藤崎町,ふじさきまち,020014,1,1,0,0,1,1,,,,,,
0236200,青森県大鰐町,大鰐町,おおわにまち,020014,1,1,0,0,1,1,,,,,,
0236700,青森県田舎館村,田舎館村,いなかだてむら,020014,1,1,0,0,1,1,,,,,,
0238100,青森県板柳町,板柳町,いたやなぎまち,020012,1,1,0,0,1,1,,,,,,
0238400,青森県鶴田町,鶴田町,つるたまち,020012,1,1,0,0,1,1,,,,,,
0238700,青森県中泊町,中泊町,なかどまりまち,020012,1,1,1,1,1,1,,,,,,
0240100,青森県野辺地町,野辺地町,のへじまち,020032,1,1,1,1,1,1,,,,,,
0240200,青森県七戸町,七戸町,しちのへまち,020032,1,1,0,0,1,1,,,,,,
0240500,青森県六戸町,六戸町,ろくのへまち,020031,1,1,0,0,1,1,,,,,,
0240600,青森県横浜町,横浜町,よこはままち,020032,1,1,1,1,1,1,,,,,,
0240800,青森県東北町,東北町,とうほくまち,020032,1,1,0,0,1,1,,,,,,
0241100,青森県六ヶ所村,六ヶ所村,ろっかしょむら,020032,1,1,1,1,1,1,,,,,,
0241200,青森県おいらせ町,おいらせ町,おいらせちょう,020031,1,1,1,1,1,1,,,,,,
0242300,青森県大間町,大間町,おおままち,020020,1,1,1,1,1,1,,,,,,
0242400,青森県東通村,東通村,ひがしどおりむら,020020,1,1,1,1,1,1,,,,,,
0242500,青森県風間浦村,風間浦村,かざまうらむら,020020,1,1,1,1,1,1,,,,,,
0242600,青森県佐井村,佐井村,さいむら,020020,1,1,1,1,1,1,,,,,,
0244100,青森県三戸町,三戸町,さんのへまち,020031,1,1,0,0,1,1,,,,,,
0244200,青森県五戸町,五戸町,ごのへまち,020031,1,1,0,0,1,1,,,,,,
0244300,青森県田子町,田子町,たっこまち,020031,1,1,0,0,1,1,,,,,,
0244500,青森県南部町,南部町,なんぶちょう,020031,1,1,0,0,1,1,,,,,,
0244600,青森県階上町,階上町,はしかみちょう,020031,1,1,1,1,1,1,,,,,,
0245000,青森県新郷村,新郷村,しんごうむら,020031,1,1,0,0,1,1,,,,,,
0320100,岩手県盛岡市,盛岡市,もりおかし,030011,1,1,0,0,1,1,,,,,,
0320200,岩手県宮古市,宮古市,みやこし,030022,1,1,1,1,1,1,,,,,,
0320300,岩手県大船渡市,大船渡市,おおふなとし,030032,1,1,1,1,1,1,,,,,,
0320500,岩手県花巻市,花巻市,はなまきし,030013,1,1,0,0,1,1,,,,,,
0320600,岩手県北上市,北上市,きたかみし,030013,1,1,0,0,1,1,,,,,,
0320700,岩手県久慈市,久慈市,くじし,030021,1,1,1,1,1,1,,,,,,
0320800,岩手県遠野市,遠野市,とおのし,030014,1,1,0,0,1,1,,,,,,
0320900,岩手県一関市,一関市,いちのせきし,030016,1,1,0,0,1,1,,,,,,
0321000,岩手県陸前高田市,陸前高田市,りくぜんたかたし,030032,1,1,1,1,1,1,,,,,,
0321100,岩手県釜石市,釜石市,かまいしし,030031,1,1,1,1,1,1,,,,,,
0321300,岩手県二戸市,二戸市,にのへし,030012,1,1,0,0,1,1,,,,,,
0321400,岩手県八幡平市,八幡平市,はちまんたいし,030011,1,1,0,0,1,1,,,,,,
0321500,岩手県奥州市,奥州市,おうしゅうし,030015,1,1,0,0,1,1,,,,,,
0321600,岩手県滝沢市,滝沢市,たきざわし,030011,1,1,0,0,1,1,,,,,,
0330100,岩手県雫石町,雫石町,しずくいしちょう,030011,1,1,0,0,1,1,,,,,,
0330200,岩手県葛巻町,葛巻町,くずまきまち,030011,1,1,0,0,1,1,,,,,,
0330300,岩手県岩手町,岩手町,いわてまち,030011,1,1,0,0,1,1,,,,,,
0332100,岩手県紫波町,紫波町,しわちょう,030011,1,1,0,0,1,1,,,,,,
0332200,岩手県矢巾町,矢巾町,やはばちょう,030011,1,1,0,0,1,1,,,,,,
0336600,岩手県西和賀町,西和賀町,にしわがまち,030013,1,1,0,0,1,1,,,,,,
0338100,岩手県金ケ崎町,金ケ崎町,かねがさきちょう,030015,1,1,0,0,1,1,,,,,,
0340200,岩手県平泉町,平泉町,ひらいずみちょう,030016,1,1,0,0,1,1,,,,,,
0344100,岩手県住田町,住田町,すみたちょう,030032,1,1,0,0,1,1,,,,,,
0346100,岩手県大槌町,大槌町,おおつちちょう,030031,1,1,1,1,1,1,,,,,,
0348200,岩手県山田町,山田町,やまだまち,030022,1,1,1,1,1,1,,,,,,
0348300,岩手県岩泉町,岩泉町,いわいずみちょう,030022,1,1,1,1,1,1,,,,,,
0348400,岩手県田野畑村,田野畑村,たのはたむら,030022,1,1,1,1,1,1,,,,,,
0348500,岩手県普代村,普代村,ふだいむら,030021,1,1,1,1,1,1,,,,,,
0350100,岩手県軽米町,軽米町,かるまいまち,030012,1,1,0,0,1,1,,,,,,
0350300,岩手県野田村,野田村,のだむら,030021,1,1,1,1,1,1,,,,,,
0350600,岩手県九戸村,九戸村,くのへむら,030012,1,1,0,0,1,1,,,,,,
0350700,岩手県洋野町,洋野町,ひろのちょう,030021,1,1,1,1,1,1,,,,,,
0352400,岩手県一戸町,一戸町,いちのへまち,030012,1,1,0,0,1,1,,,,,,
0410000,宮城県仙台市,仙台市,せんだいし,,0,0,0,0,0,1,,,,,,
0410001,気象庁予報警報規程別表第四の二に示す「仙台市東部」の区域,仙台市東部,せんだいしとうぶ,040011,1,1,1,1,1,0,,,,,,
0410002,気象庁予報警報規程別表第四の二に示す「仙台市西部」の区域,仙台市西部,せんだいしせいぶ,040021,1,1,0,0,1,0,,,,,,
0410100,宮城県仙台市のうち青葉区,,,,0,0,0,0,0,0,,,,,,
0410200,宮城県仙台市のうち宮城野区,,,,0,0,0,0,0,0,,,,,,
0410300,宮城県仙台市のうち若林区,,,,0,0,0,0,0,0,,,,,,
0410400,宮城県仙台市のうち太白区,,,,0,0,0,0,0,0,,,,,,
0410500,宮城県仙台市のうち泉区,,,,0,0,0,0,0,0,,,,,,
0420200,宮城県石巻市,石巻市,いしのまきし,040012,1,1,1,1,1,1,,,,,,
0420300,宮城県塩竈市,塩竈市,しおがまし,040011,1,1,1,1,1,1,,,,,,
0420500,宮城県気仙沼市,気仙沼市,けせんぬまし,040014,1,1,1,1,1,1,,,,,,
0420600,宮城県白石市,白石市,しろいしし,040022,1,1,0,0,1,1,,,,,,
0420700,宮城県名取市,名取市,なとりし,040011,1,1,1,1,1,1,,,,,,
